Date,Region,Product,Sales Amount
2023-01-27,West,Product D,4153.2
2023-01-27,West,Product B,1341.13
2023-01-27,South,Product A,3480.21
2023-01-27,East,Product B,2462.83
2023-01-27,West,Product B,1783.67
2023-01-28,South,Product A,1494.52
2023-01-28,South,Product C,4272.42
2023-01-28,West,Product C,2546.88
2023-01-28,West,Product D,400.81
2023-01-28,West,Product A,538.91
2023-01-28,East,Product D,1516.92
2023-01-28,South,Product B,820.97
2023-01-29,South,Product B,1135.51
2023-01-29,South,Product A,4624.53
2023-01-29,North,Product C,2777.61
2023-01-29,East,Product B,3383.29
2023-01-29,South,Product A,887.06
2023-01-29,North,Product A,1290.19
2023-01-29,North,Product B,2587.33
2023-01-29,East,Product D,2063.71
2023-01-29,West,Product A,1338.05
2023-01-30,South,Product A,498.78
2023-01-30,North,Product A,3584.9
2023-01-30,South,Product A,4288.68
2023-01-31,North,Product B,1515.32
2023-01-31,West,Product D,4623.97
2023-01-31,East,Product C,3089.45
2023-01-31,East,Product C,1988.75
2023-02-01,South,Product B,4485.34
2023-02-01,East,Product B,3828.37
2023-02-01,South,Product D,3447.51
2023-02-02,West,Product A,2431.2
2023-02-02,North,Product D,1686.47
2023-02-02,West,Product D,1110.65
2023-02-02,West,Product C,2089.86
2023-02-02,South,Product A,3326.49
2023-02-03,South,Product B,3332.58
2023-02-03,East,Product B,2432.84
2023-02-03,East,Product B,3752.77
2023-02-04,West,Product B,2069.7
2023-02-04,North,Product D,1478.9
2023-02-04,North,Product D,701.28
2023-02-04,West,Product D,494.9
2023-02-04,West,Product D,1045.81
2023-02-04,West,Product C,341.04
2023-02-04,West,Product D,3410.57
2023-02-05,South,Product D,4179.56
2023-02-05,South,Product D,1998.91
2023-02-05,West,Product A,1539.74
2023-02-05,East,Product D,2618.74
2023-02-05,North,Product A,4056.89
2023-02-06,South,Product D,3606.73
2023-02-06,South,Product D,4167.34
2023-02-06,West,Product D,1641.24
2023-02-06,South,Product B,3561.11
2023-02-06,East,Product D,1168.11
2023-02-07,West,Product C,3097.34
2023-02-07,South,Product D,4768.8
2023-02-07,North,Product D,3082.33
2023-02-07,South,Product D,2398.14
2023-02-07,South,Product D,2003.29
2023-02-08,South,Product B,4492.67
2023-02-08,North,Product A,1187.64
2023-02-08,South,Product B,549.0
2023-02-08,South,Product A,4913.29
2023-02-08,North,Product D,504.66
2023-02-08,East,Product B,1449.0
2023-02-08,North,Product C,1370.18
2023-02-08,West,Product D,4003.5
2023-02-08,East,Product D,4148.81
2023-02-08,West,Product D,1011.92
2023-02-08,West,Product D,2837.48
2023-02-08,West,Product A,3708.01
2023-02-08,West,Product D,3846.71
2023-02-08,North,Product B,2108.14
2023-02-08,West,Product D,1998.7
2023-02-08,South,Product A,2421.25
2023-02-09,North,Product A,2857.46
2023-02-09,South,Product B,4206.17
2023-02-09,West,Product B,1848.46
2023-02-09,South,Product B,3023.66
2023-02-09,West,Product A,720.12
2023-02-09,South,Product D,370.09
2023-02-09,South,Product B,4210.65
2023-02-09,South,Product D,3263.0
2023-02-09,East,Product D,226.95
2023-02-10,North,Product A,3588.54
2023-02-10,East,Product A,4578.69
2023-02-10,East,Product D,4066.47
2023-02-10,South,Product B,3602.73
2023-02-10,North,Product B,2312.27
2023-02-10,West,Product D,1257.0
2023-02-10,South,Product C,154.76
2023-02-10,South,Product C,4015.99
2023-02-10,West,Product B,4321.99
2023-02-10,East,Product C,1057.5
2023-02-10,South,Product A,1416.57
2023-02-11,South,Product D,325.89
2023-02-11,West,Product D,4755.43
2023-02-11,North,Product B,304.11
2023-02-11,East,Product B,3089.75
2023-02-11,North,Product D,546.15
2023-02-12,North,Product B,1725.48
2023-02-12,West,Product C,2108.79
2023-02-12,North,Product A,3602.35
2023-02-12,West,Product C,4324.93
2023-02-12,East,Product B,4185.66
2023-02-12,South,Product B,4619.72
2023-02-12,South,Product A,901.25
2023-02-12,East,Product C,417.09
2023-02-12,West,Product D,4104.58
2023-02-13,East,Product B,1101.23
2023-02-13,North,Product A,830.56
2023-02-13,East,Product B,3147.05
2023-02-13,West,Product D,3401.78
2023-02-13,North,Product A,4720.99
2023-02-13,East,Product C,519.41
2023-02-14,North,Product D,3063.01
2023-02-14,West,Product C,90.1
2023-02-14,North,Product B,1671.36
2023-02-14,South,Product C,70.3
2023-02-15,South,Product D,4566.8
2023-02-15,North,Product A,2378.98
2023-02-15,East,Product A,3505.68
2023-02-15,North,Product C,4980.93
2023-02-15,East,Product A,490.57
2023-02-16,South,Product D,3932.99
2023-02-16,North,Product D,4187.82
2023-02-16,West,Product C,833.29
2023-02-16,West,Product B,4558.43
2023-02-16,North,Product D,2918.71
2023-02-16,East,Product B,4893.55
2023-02-16,North,Product C,2979.98
2023-02-16,East,Product A,2447.12
2023-02-16,North,Product B,2663.15
2023-02-16,West,Product C,1215.27
2023-02-16,South,Product D,3338.5
2023-02-17,East,Product B,1212.9
2023-02-17,South,Product D,1858.76
2023-02-17,South,Product D,161.72
2023-02-17,West,Product B,1682.59
2023-02-17,West,Product D,226.28
2023-02-18,South,Product B,1249.51
2023-02-18,East,Product C,890.04
2023-02-18,West,Product A,2946.35
2023-02-18,South,Product C,4728.68
2023-02-18,South,Product C,4055.06
2023-02-18,South,Product B,756.79
2023-02-18,North,Product D,2330.29
2023-02-18,North,Product B,4586.52
2023-02-18,South,Product A,523.56
2023-02-18,East,Product B,2848.18
2023-02-19,South,Product C,279.45
2023-02-19,North,Product A,3900.07
2023-02-19,North,Product C,2351.11
2023-02-19,East,Product B,4444.7
2023-02-19,West,Product D,2203.17
2023-02-20,East,Product A,285.21
2023-02-20,South,Product B,4324.71
2023-02-20,South,Product B,4719.97
2023-02-20,South,Product C,4374.49
2023-02-20,North,Product A,4976.04
2023-02-20,South,Product D,2845.85
2023-02-21,West,Product A,3241.35
2023-02-22,West,Product D,4388.28
2023-02-22,West,Product C,4273.21
2023-02-22,South,Product C,4498.26
2023-02-22,North,Product B,222.26
2023-02-22,North,Product B,2328.91
2023-02-22,South,Product D,4556.53
2023-02-22,South,Product C,3159.5
2023-02-22,East,Product B,2078.7
2023-02-22,East,Product A,2772.44
2023-02-23,North,Product B,2135.82
2023-02-23,South,Product D,2556.98
2023-02-23,East,Product B,1647.28
2023-02-23,South,Product B,1544.08
2023-02-23,South,Product D,4723.91
2023-02-23,North,Product A,331.36
2023-02-23,East,Product B,2720.56
2023-02-23,North,Product B,4034.84
2023-02-24,North,Product C,1401.75
2023-02-24,South,Product A,3602.91
2023-02-24,East,Product A,4775.46
2023-02-24,North,Product D,4428.63
2023-02-24,East,Product C,1027.15
2023-02-24,South,Product A,2361.65
2023-02-25,North,Product D,95.8
2023-02-25,South,Product B,1730.49
2023-02-25,West,Product A,2813.47
2023-02-25,East,Product A,3371.32
2023-02-25,East,Product C,1584.58
2023-02-26,East,Product D,306.02
2023-02-26,North,Product C,1837.44
2023-02-26,West,Product B,2402.7
2023-02-26,East,Product B,4195.94
2023-02-27,South,Product C,3618.42
2023-02-27,East,Product A,1715.03
2023-02-27,North,Product A,1776.08
2023-02-27,South,Product D,1959.38
2023-02-27,South,Product A,106.38
2023-02-27,West,Product C,2242.54
2023-02-27,West,Product D,3616.15
2023-02-28,East,Product A,2404.74
2023-02-28,South,Product C,4161.39
2023-02-28,North,Product A,395.82
2023-02-28,East,Product C,3978.9
2023-02-28,West,Product A,2579.47
2023-02-28,South,Product A,2093.18
2023-02-28,North,Product C,3869.17
2023-02-28,East,Product D,2197.23
2023-02-28,North,Product A,1833.87
2023-02-28,West,Product A,4472.04
2023-02-28,North,Product A,2468.38
2023-02-28,North,Product C,4127.8
2023-03-01,North,Product A,4580.5
2023-03-01,North,Product D,4666.78
2023-03-01,East,Product B,3886.97
2023-03-01,East,Product B,2305.89
2023-03-01,South,Product B,3137.52
2023-03-02,North,Product B,4639.96
2023-03-02,West,Product C,4059.07
2023-03-02,West,Product D,4206.14
2023-03-02,North,Product A,999.28
2023-03-02,West,Product C,4356.03
2023-03-02,North,Product C,1497.03
2023-03-03,South,Product D,280.85
2023-03-03,South,Product A,4366.93
2023-03-03,East,Product A,2537.52
2023-03-03,South,Product A,1173.66
2023-03-03,North,Product A,2657.51
2023-03-03,North,Product D,1106.57
2023-03-04,South,Product D,1170.83
2023-03-04,South,Product B,2228.6
2023-03-04,West,Product B,99.95
2023-03-04,West,Product C,131.86
2023-03-04,South,Product B,4114.11
2023-03-04,East,Product D,1984.05
2023-03-04,North,Product B,3335.34
2023-03-04,North,Product C,1524.49
2023-03-05,West,Product C,4653.42
2023-03-05,East,Product C,2272.33
2023-03-05,South,Product A,4545.88
2023-03-05,North,Product D,1708.49
2023-03-06,North,Product C,1760.63
2023-03-06,North,Product A,1669.64
2023-03-06,North,Product A,2165.88
2023-03-06,East,Product C,715.9
2023-03-06,North,Product D,4770.6
2023-03-06,South,Product D,1829.25
2023-03-06,North,Product B,4144.43
2023-03-06,West,Product A,3101.57
2023-03-06,South,Product A,1517.38
2023-03-07,East,Product B,710.33
2023-03-07,North,Product D,3322.6
2023-03-07,North,Product A,4039.34
2023-03-07,North,Product A,3215.79
2023-03-07,East,Product A,3086.28
2023-03-07,East,Product A,1004.37
2023-03-08,West,Product B,1737.34
2023-03-08,East,Product D,2270.29
2023-03-08,East,Product A,1458.48
2023-03-09,North,Product C,765.15
2023-03-09,East,Product C,1685.27
2023-03-09,West,Product A,173.61
2023-03-09,South,Product D,2763.19
2023-03-09,West,Product A,4406.53
2023-03-09,North,Product A,4246.56
2023-03-10,West,Product D,2387.79
2023-03-10,South,Product C,2515.74
2023-03-10,West,Product C,472.58
2023-03-10,South,Product A,3033.9
2023-03-10,South,Product C,606.3
2023-03-10,West,Product C,2097.54
2023-03-10,West,Product B,157.05
2023-03-10,South,Product B,2292.42
2023-03-10,South,Product A,164.4
2023-03-10,West,Product B,539.39
2023-03-11,North,Product B,3067.98
2023-03-11,West,Product D,2193.72
2023-03-11,South,Product D,1515.16
2023-03-11,East,Product D,4589.04
2023-03-11,East,Product B,1463.85
2023-03-12,East,Product A,2500.01
2023-03-12,East,Product C,3593.46
2023-03-13,North,Product D,1442.24
2023-03-13,North,Product D,4704.56
2023-03-13,East,Product B,4025.08
2023-03-13,South,Product A,3672.29
2023-03-14,South,Product C,4284.66
2023-03-14,East,Product B,4096.53
2023-03-14,North,Product B,4083.22
2023-03-14,East,Product A,2162.04
2023-03-14,North,Product C,4444.38
2023-03-14,East,Product D,4748.11
2023-03-14,South,Product B,3652.89
2023-03-14,North,Product D,607.85
2023-03-14,West,Product B,2786.1
2023-03-14,West,Product B,4695.42
2023-03-14,East,Product B,1052.21
2023-03-14,East,Product A,2199.47
2023-03-14,North,Product A,2216.11
2023-03-14,North,Product B,3135.12
2023-03-15,East,Product D,1031.94
2023-03-15,East,Product C,2191.58
2023-03-15,West,Product A,276.97
2023-03-15,West,Product C,1602.99
2023-03-15,West,Product C,4403.12
2023-03-16,West,Product A,3947.26
2023-03-16,East,Product D,3955.31
2023-03-16,East,Product A,164.38
2023-03-16,North,Product A,4714.39
2023-03-16,West,Product D,3770.81
2023-03-16,East,Product B,850.0
2023-03-16,East,Product C,433.55
2023-03-16,North,Product C,3883.27
2023-03-16,North,Product B,3918.38
2023-03-16,South,Product D,2782.49
2023-03-16,North,Product C,3389.64
2023-03-16,East,Product C,2501.82
2023-03-16,North,Product B,2543.68
2023-03-17,South,Product B,2048.48
2023-03-17,North,Product A,4572.21
2023-03-17,North,Product D,4065.59
2023-03-17,South,Product D,4066.69
2023-03-17,East,Product C,736.94
2023-03-17,South,Product B,3565.22
2023-03-17,North,Product D,905.31
2023-03-18,South,Product D,4772.38
2023-03-18,West,Product B,2810.94
2023-03-18,West,Product D,3413.07
2023-03-19,West,Product A,3011.0
2023-03-19,West,Product C,4516.12
2023-03-19,South,Product B,2506.07
2023-03-19,South,Product D,2734.68
2023-03-19,West,Product B,2337.6
2023-03-19,West,Product B,2764.99
2023-03-19,North,Product A,2934.47
2023-03-20,North,Product C,1570.39
2023-03-20,West,Product B,878.47
2023-03-20,East,Product A,2395.11
2023-03-20,East,Product B,366.42
2023-03-20,South,Product B,1962.76
2023-03-20,East,Product B,576.62
2023-03-21,West,Product A,3450.41
2023-03-21,West,Product A,4300.82
2023-03-22,South,Product B,1022.59
2023-03-22,West,Product A,1286.84
2023-03-22,East,Product D,2839.18
2023-03-22,South,Product D,3820.63
2023-03-22,South,Product A,2581.61
2023-03-22,West,Product A,796.42
2023-03-23,North,Product A,1281.1
2023-03-23,North,Product B,4209.66
2023-03-23,North,Product D,2010.32
2023-03-23,East,Product B,2590.05
2023-03-23,North,Product D,2821.42
2023-03-23,West,Product A,104.27
2023-03-23,East,Product B,1390.08
2023-03-24,North,Product A,2714.72
2023-03-24,West,Product B,4074.95
2023-03-24,South,Product A,4649.13
2023-03-24,North,Product A,2033.26
2023-03-24,East,Product C,1383.32
2023-03-24,West,Product C,2453.2
2023-03-25,North,Product C,3369.78
2023-03-25,West,Product C,3423.55
2023-03-25,West,Product C,1385.68
2023-03-25,North,Product D,4840.91
2023-03-25,North,Product A,4002.56
2023-03-25,West,Product D,3606.38
2023-03-25,South,Product D,1472.4
2023-03-25,West,Product B,3510.19
2023-03-25,North,Product A,1731.59
2023-03-25,North,Product C,4079.38
2023-03-25,East,Product C,4527.15
2023-03-25,North,Product A,1493.31
2023-03-25,South,Product C,2220.22
2023-03-26,South,Product B,4746.09
2023-03-26,East,Product A,4960.04
2023-03-26,West,Product B,3244.46
2023-03-26,North,Product C,1138.42
2023-03-27,East,Product D,592.66
2023-03-27,West,Product A,2371.62
2023-03-27,East,Product B,2888.34
2023-03-27,South,Product A,2114.39
2023-03-27,West,Product B,897.36
2023-03-27,East,Product A,3168.67
2023-03-27,South,Product D,2504.41
2023-03-27,East,Product A,4793.34
2023-03-27,South,Product D,4948.35
2023-03-28,West,Product A,3584.57
2023-03-28,East,Product D,876.86
2023-03-28,North,Product C,4471.52
2023-03-28,East,Product D,294.0
2023-03-28,West,Product C,4021.33
2023-03-28,East,Product A,4740.01
2023-03-28,South,Product D,4577.74
2023-03-29,East,Product A,1201.34
2023-03-29,West,Product A,2679.43
2023-03-29,North,Product A,3604.13
2023-03-29,East,Product A,4692.54
2023-03-29,East,Product A,3211.76
2023-03-29,North,Product B,4682.73
2023-03-29,South,Product A,2482.18
2023-03-29,East,Product A,3413.78
2023-03-30,East,Product C,1944.98
2023-03-30,North,Product A,1931.74
2023-03-30,East,Product D,2128.35
2023-03-30,South,Product A,3919.64
2023-03-30,East,Product D,3147.94
2023-03-30,East,Product A,3721.94
2023-03-31,East,Product D,3776.7
2023-03-31,North,Product C,4270.7
2023-03-31,West,Product C,1779.77
2023-03-31,West,Product B,3461.69
2023-03-31,North,Product C,1832.58
2023-03-31,North,Product C,2405.84
2023-03-31,South,Product D,4698.59
2023-03-31,South,Product D,3465.32
2023-04-01,South,Product A,1039.37
2023-04-01,East,Product A,3636.93
2023-04-01,North,Product B,4897.28
2023-04-01,South,Product A,3904.08
2023-04-02,West,Product C,2316.73
2023-04-02,East,Product C,2120.9
2023-04-02,East,Product C,4740.88
2023-04-02,South,Product B,3746.51
2023-04-02,West,Product C,1601.18
2023-04-02,East,Product B,3910.1
2023-04-02,South,Product D,1657.88
2023-04-02,South,Product B,1784.83
2023-04-03,East,Product A,1174.28
2023-04-03,South,Product D,4137.07
2023-04-03,South,Product B,71.19
2023-04-03,South,Product B,2927.76
2023-04-03,South,Product A,1640.69
2023-04-03,North,Product C,4093.46
2023-04-03,South,Product C,2761.3
2023-04-03,West,Product A,1117.26
2023-04-03,East,Product A,4216.37
2023-04-04,West,Product A,1468.97
2023-04-04,West,Product B,3306.0
2023-04-05,West,Product D,3820.29
2023-04-05,West,Product C,770.86
2023-04-05,South,Product A,1034.64
2023-04-05,East,Product B,1299.45
2023-04-05,North,Product D,3298.39
2023-04-05,North,Product C,2624.41
2023-04-06,West,Product C,3594.65
2023-04-06,West,Product A,480.35
2023-04-06,East,Product C,388.34
2023-04-06,South,Product A,1331.5
2023-04-06,South,Product D,4715.92
2023-04-06,North,Product B,3493.42
2023-04-06,East,Product D,1680.3
2023-04-07,West,Product D,1269.04
2023-04-07,South,Product C,913.07
2023-04-07,West,Product A,1409.13
2023-04-07,North,Product D,3887.81
2023-04-07,North,Product A,4295.06
2023-04-08,South,Product D,3155.51
2023-04-08,South,Product D,1659.41
2023-04-08,East,Product D,465.32
2023-04-08,South,Product D,546.19
2023-04-08,West,Product D,2983.66
2023-04-08,North,Product C,3840.63
2023-04-09,South,Product B,421.71
2023-04-09,East,Product B,3795.14
2023-04-09,East,Product B,1398.71
2023-04-09,East,Product A,1744.21
2023-04-09,South,Product C,4374.66
2023-04-09,East,Product B,1151.48
2023-04-09,North,Product A,1109.34
2023-04-09,South,Product A,4930.66
2023-04-09,West,Product D,1687.43
2023-04-09,East,Product D,928.54
2023-04-09,East,Product B,167.4
2023-04-09,East,Product C,2510.27
2023-04-09,East,Product D,293.33
2023-04-10,South,Product A,2787.23
2023-04-10,East,Product C,2612.31
2023-04-10,North,Product B,4764.83
2023-04-10,North,Product A,904.65
2023-04-10,East,Product C,3717.01
2023-04-10,East,Product A,640.29
2023-04-10,South,Product C,2988.84
2023-04-11,North,Product D,1555.7
2023-04-11,West,Product C,4639.96
2023-04-11,East,Product C,3997.57
2023-04-11,West,Product C,3157.28
2023-04-11,East,Product C,2946.84
2023-04-11,East,Product C,2642.18
2023-04-11,South,Product A,4941.61
2023-04-12,West,Product D,2598.99
2023-04-12,West,Product A,4390.4
2023-04-12,East,Product B,191.72
2023-04-12,South,Product D,1081.22
2023-04-12,East,Product B,2886.98
2023-04-12,West,Product C,3612.34
2023-04-12,South,Product B,3506.65
2023-04-12,South,Product D,2799.77
2023-04-12,North,Product A,65.45
2023-04-12,West,Product D,1008.82
2023-04-13,West,Product B,1079.72
2023-04-13,West,Product B,618.19
2023-04-13,East,Product D,4031.09
2023-04-13,South,Product B,358.47
2023-04-13,East,Product A,2628.91
2023-04-13,West,Product C,107.64
2023-04-14,East,Product A,682.86
2023-04-14,South,Product C,3051.97
2023-04-14,East,Product B,2752.82
2023-04-14,North,Product C,1571.26
2023-04-14,East,Product B,2875.72
2023-04-14,East,Product A,1576.68
2023-04-14,West,Product C,3627.67
2023-04-14,East,Product A,2466.79
2023-04-14,North,Product A,2558.12
2023-04-14,East,Product C,1013.42
2023-04-14,West,Product D,2528.74
2023-04-14,South,Product D,2582.1
2023-04-15,West,Product D,2728.88
2023-04-15,South,Product B,4164.08
2023-04-15,North,Product D,593.13
2023-04-15,South,Product A,3869.76
2023-04-16,West,Product C,408.13
2023-04-16,West,Product D,244.3
2023-04-16,North,Product D,575.16
2023-04-16,East,Product D,3002.55
2023-04-16,South,Product D,2730.46
2023-04-16,East,Product B,948.46
2023-04-17,East,Product A,234.41
2023-04-17,West,Product B,3196.19
2023-04-17,South,Product B,2592.49
2023-04-17,North,Product B,2020.31
2023-04-17,East,Product C,2467.26
2023-04-18,West,Product D,3352.86
2023-04-18,West,Product D,2306.78
2023-04-18,West,Product C,1162.51
2023-04-18,East,Product A,1733.54
2023-04-18,West,Product C,3237.15
2023-04-18,West,Product A,4472.62
2023-04-19,West,Product A,774.55
2023-04-19,East,Product B,1423.01
2023-04-19,West,Product A,1082.21
2023-04-19,North,Product D,4247.46
2023-04-19,South,Product A,3992.92
2023-04-19,South,Product A,2870.05
2023-04-19,West,Product D,2005.63
2023-04-19,West,Product C,1120.35
2023-04-19,South,Product A,1583.3
2023-04-19,South,Product D,613.12
2023-04-19,East,Product D,2265.33
2023-04-19,East,Product B,3025.36
2023-04-20,North,Product A,3063.35
2023-04-20,East,Product A,4164.12
2023-04-21,North,Product B,820.17
2023-04-21,South,Product C,3436.84
2023-04-21,East,Product D,855.13
2023-04-21,East,Product A,2350.68
2023-04-21,South,Product C,4304.2
2023-04-21,East,Product A,1931.97
2023-04-21,East,Product B,3790.62
2023-04-21,North,Product B,2164.65
2023-04-21,South,Product C,917.12
2023-04-21,East,Product A,1073.4
2023-04-22,South,Product B,3979.15
2023-04-22,East,Product C,2283.26
2023-04-22,North,Product B,2540.19
2023-04-22,South,Product D,3933.33
2023-04-22,West,Product A,88.41
2023-04-22,West,Product A,267.66
2023-04-23,South,Product A,4404.62
2023-04-23,East,Product D,3016.85
2023-04-23,East,Product B,4682.98
2023-04-23,East,Product B,909.18
2023-04-23,West,Product C,661.68
2023-04-23,East,Product A,853.04
2023-04-23,West,Product B,2484.69
2023-04-23,South,Product A,1289.35
2023-04-23,South,Product B,2670.71
2023-04-23,North,Product C,3550.25
2023-04-23,North,Product C,1911.0
2023-04-23,South,Product D,467.14
2023-04-23,West,Product A,4590.65
2023-04-23,West,Product A,3080.14
2023-04-24,East,Product B,3853.92
2023-04-24,South,Product D,1438.92
2023-04-24,West,Product A,4241.58
2023-04-24,North,Product D,4501.73
2023-04-24,West,Product C,4515.86
2023-04-24,South,Product C,2170.3
2023-04-24,East,Product D,2971.98
2023-04-25,South,Product B,2348.44
2023-04-25,East,Product C,4850.61
2023-04-25,South,Product C,2328.59
